,DT,Aux,_ DT
WT_YPD_1,2.422401211,2.432271538,0.009870327
WT_YPD_2,2.391871189,2.384042971,-0.007828219
WT_YPD_3,2.410672818,2.624446659,0.213773841
WT_YPD_4,2.37601342,2.367488637,-0.008524783
Ctr9-AID + osTIR_YPD_1,2.410537285,2.643518697,0.232981412
Ctr9-AID + osTIR_YPD_2,2.480262427,2.66423954,0.183977113
Ctr9-AID - osTIR_YPD_1,2.42272638,2.426052683,0.003326303
Ctr9-AID - osTIR_YPD_2,2.406739371,2.433242436,0.026503065
ctr9D_YPD_1,3.511603845,3.505507892,-0.006095953
ctr9D_YPD_2,3.816260935,3.70676177,-0.109499166
Cdc73-AID + osTIR_YPD_1,2.589660271,2.729881373,0.140221101
Cdc73-AID + osTIR_YPD_2,2.60750563,2.799826207,0.192320578
Cdc73-AID - osTIR_YPD_1,2.507750298,2.512831261,0.005080963
Cdc73-AID - osTIR_YPD_2,2.561801671,2.554430275,-0.007371395
cdc73D_YPD_1,2.474723396,2.492998906,0.01827551
cdc73D_YPD_2,2.52525292,2.512886477,-0.012366443
Paf1-AID + osTIR_YPD_1,2.453406775,2.536336437,0.082929662
Paf1-AID + osTIR_YPD_2,2.401440029,2.60668851,0.205248482
Paf1-AID - osTIR_YPD_1,2.710039611,2.689254494,-0.020785117
Paf1-AID - osTIR_YPD_2,2.647447001,2.729844221,0.08239722
paf1D_YPD_1,3.38165886,3.590739003,0.209080143
paf1D_YPD_2,3.61588751,3.743058306,0.127170796